# (use the command "$ sed -e '/^#/d' -e 's/#.*$//' <filename>" to remove comments)
# Sample Temperature: 2.7579504299163817
#   Initial Sweeps: 100
#            Width: 2
#        Generator: Xorshift
#    Sweep Pattern: IterSweep
# Total Sweep Time: 0.21221440400000002
# Total Histogram Time: 0.002112146
#   Temperature        E (10)        C (10)       E (100)       C (100)      E (1000)      C (1000)     E (10000)     C (10000)    E (100000)    C (100000)   E (1000000)   C (1000000)
           2.13            -2             0    -1.8493185    0.12284077    -1.8345204    0.13382519    -1.8311545    0.13798917    -1.8308186    0.13789669    -1.8261785     0.1418098
           2.14            -2             0    -1.8468548    0.12352035    -1.8318368    0.13453033    -1.8283869    0.13876568     -1.828053    0.13866036    -1.8233344     0.1425999
           2.15            -2             0    -1.8443777    0.12418658    -1.8291393    0.13522038     -1.825604    0.13952751    -1.8252723    0.13940914    -1.8204746    0.14337479
           2.16            -2             0    -1.8418875    0.12483947    -1.8264281    0.13589533    -1.8228059    0.14027467    -1.8224768    0.14014304    -1.8175995    0.14413448
           2.17            -2             0    -1.8393842    0.12547902    -1.8237035    0.13655523    -1.8199931    0.14100716    -1.8196667    0.14086208    -1.8147093    0.14487899
           2.18            -2             0    -1.8368684    0.12610526     -1.820966     0.1372001    -1.8171657    0.14172501    -1.8168424    0.14156627    -1.8118044    0.14560832
           2.19            -2             0    -1.8343401    0.12671819    -1.8182156    0.13782997    -1.8143242    0.14242822    -1.8140041    0.14225564    -1.8088851    0.14632251
            2.2            -2             0    -1.8317997    0.12731785    -1.8154529    0.13844489    -1.8114687    0.14311683    -1.8111523    0.14293022    -1.8059516    0.14702159
           2.21            -2             0    -1.8292475    0.12790425    -1.8126779    0.13904488    -1.8085996    0.14379086     -1.808287    0.14359004    -1.8030043    0.14770559
           2.22            -2             0    -1.8266837    0.12847745    -1.8098912    0.13963002    -1.8057172    0.14445036    -1.8054087    0.14423515    -1.8000435    0.14837454
           2.23            -2             0    -1.8241085    0.12903746    -1.8070928    0.14020034    -1.8028217    0.14509535    -1.8025177    0.14486558    -1.7970694     0.1490285
           2.24            -2             0    -1.8215222    0.12958434    -1.8042833    0.14075592    -1.7999134     0.1457259    -1.7996142    0.14548139    -1.7940824    0.14966752
           2.25            -2             0    -1.8189252    0.13011813    -1.8014627     0.1412968    -1.7969927    0.14634204    -1.7966986    0.14608263    -1.7910828    0.15029164
           2.26            -2             0    -1.8163176    0.13063887    -1.7986315    0.14182307    -1.7940599    0.14694383     -1.793771    0.14666936    -1.7880709    0.15090093
           2.27            -2             0    -1.8136997    0.13114663    -1.7957899    0.14233479    -1.7911151    0.14753133    -1.7908319    0.14724164    -1.7850469    0.15149545
           2.28            -2             0    -1.8110718    0.13164146    -1.7929382    0.14283204    -1.7881587     0.1481046    -1.7878814    0.14779953    -1.7820112    0.15207526
           2.29            -2             0    -1.8084342    0.13212342    -1.7900767     0.1433149     -1.785191    0.14866371      -1.78492    0.14834311     -1.778964    0.15264044
            2.3            -2             0     -1.805787    0.13259257    -1.7872057    0.14378344    -1.7822123    0.14920872    -1.7819478    0.14887245    -1.7759056    0.15319107
           2.31            -2             0    -1.8031305    0.13304898    -1.7843254    0.14423777    -1.7792227    0.14973971    -1.7789652    0.14938763    -1.7728364    0.15372721
           2.32            -2             0    -1.8004651    0.13349272    -1.7814363    0.14467797    -1.7762228    0.15025676    -1.7759724    0.14988873    -1.7697566    0.15424896
           2.33            -2             0    -1.7977909    0.13392387    -1.7785384    0.14510414    -1.7732126    0.15075994    -1.7729697    0.15037583    -1.7666666    0.15475639
           2.34            -2             0    -1.7951082     0.1343425    -1.7756322    0.14551636    -1.7701924    0.15124935    -1.7699575    0.15084903    -1.7635665    0.15524961
           2.35            -2             0    -1.7924173    0.13474869    -1.7727179    0.14591475    -1.7671627    0.15172506    -1.7669359    0.15130841    -1.7604567    0.15572869
           2.36            -2             0    -1.7897184    0.13514252    -1.7697957    0.14629941    -1.7641235    0.15218716    -1.7639052    0.15175406    -1.7573374    0.15619374
           2.37            -2             0    -1.7870117    0.13552408     -1.766866    0.14667043    -1.7610753    0.15263576    -1.7608658    0.15218609     -1.754209    0.15664485
           2.38            -2             0    -1.7842975    0.13589346     -1.763929    0.14702794    -1.7580182    0.15307093    -1.7578179    0.15260459    -1.7510717    0.15708213
           2.39            -2             0     -1.781576    0.13625074    -1.7609849    0.14737204    -1.7549525    0.15349279    -1.7547617    0.15300966    -1.7479258    0.15750567
            2.4            -2             0    -1.7788475    0.13659601    -1.7580342    0.14770284    -1.7518786    0.15390142    -1.7516976    0.15340141    -1.7447716    0.15791559
           2.41            -2             0    -1.7761123    0.13692938    -1.7550769    0.14802047    -1.7487966    0.15429694    -1.7486257    0.15377995    -1.7416093    0.15831199
           2.42            -2             0    -1.7733704    0.13725093    -1.7521134    0.14832503    -1.7457068    0.15467945    -1.7455465    0.15414539    -1.7384392    0.15869498
           2.43            -2             0    -1.7706223    0.13756076     -1.749144    0.14861666    -1.7426095    0.15504905      -1.74246    0.15449783    -1.7352616    0.15906467
